Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Annealed,10,4,1.99,2.01,2.69,7.51,1,0.43,0.798,3.37,0.93
Heat-Strengthened,12,3.41,3.09,1.1,1.53,0.76,2,1.3,0.836,3.66,0.43
Heat-Strengthened,4,1.04,4.17,0.25,1.59,0.14,2,1.3,0.775,4.1,0.83
Heat-Strengthened,16,4.4,2.57,1.71,1.18,0.91,2,1.3,0.728,3.24,0.36
Fully Tempered,6,3.39,1.08,3.14,2.99,36.75,4,3,0.748,15.99,0.93
Annealed,4,1.69,3.04,0.56,2.16,1.77,1,0.43,0.683,3.16,0.72
Heat-Strengthened,5,2.12,2.52,0.84,1.8,2.26,2,1.3,0.895,4.02,0.83
Heat-Strengthened,16,2.87,1.94,1.48,1.14,0.19,2,1.3,0.87,2.62,0.43
Fully Tempered,10,4.87,4.66,1.05,1.33,3.14,4,3,0.779,6.83,0.55
Heat-Strengthened,8,3.71,4.72,0.79,1.87,2.86,2,1.3,0.87,4.3,0.55
Laminated,19,2.14,1.65,1.3,1.53,0.06,3.8,2.85,0.857,6.78,0.31
Annealed,4,2.3,1.53,1.5,1.8,10.05,1,0.43,0.76,2.37,0.43
Annealed,8,4.86,1.56,3.12,2.03,30.78,1,0.43,0.361,5.62,0.31
Heat-Strengthened,16,2.6,2.92,0.89,0.73,0.05,2,1.3,0.809,1.8,0.36
Fully Tempered,16,1.92,2.18,0.88,2.45,0.07,4,3,0.721,13.59,0.64
Fully Tempered,12,4.86,3.47,1.4,0.91,1.65,4,3,0.739,4.93,0.43
Fully Tempered,16,3.52,1.75,2.01,1.99,0.93,4,3,0.89,8.94,0.93
Laminated,8,2.86,4.38,0.65,0.6,0.35,3.8,2.85,0.431,5.29,0.36
Heat-Strengthened,8,3.63,1.25,2.9,2.84,16.73,2,1.3,0.455,12.48,0.83
Fully Tempered,12,3.6,1.2,3,2.29,4.03,4,3,0.842,10.88,0.36
Laminated,8,1.41,2.98,0.47,1.82,0.09,3.8,2.85,0.463,14.94,0.55
Fully Tempered,5,3.19,1.98,1.61,1.88,17.08,4,3,0.779,9.65,0.83
Fully Tempered,8,3.19,2.25,1.42,2.64,4.64,4,3,0.472,22.37,0.64
Annealed,5,1.27,1.27,1,2.72,0.87,1,0.43,0.609,4.47,0.72
Laminated,12,3.4,4.39,0.77,1.88,0.65,3.8,2.85,0.733,9.75,0.93
Fully Tempered,19,4.17,4.12,1.01,2.92,0.61,4,3,0.832,14.04,0.31
Heat-Strengthened,5,1.45,1.15,1.26,1.36,0.82,2,1.3,0.677,4.02,0.72
Laminated,8,3.59,2.31,1.55,0.74,2.26,3.8,2.85,0.764,3.68,0.43
Fully Tempered,5,2.64,4.79,0.55,2.62,4.15,4,3,0.857,12.23,0.31
Annealed,10,2.29,4.93,0.46,0.64,0.07,1,0.43,0.847,0.76,0.93
Heat-Strengthened,19,3.61,4.56,0.79,0.77,0.08,2,1.3,0.815,1.89,0.83
Annealed,5,3.22,4.26,0.76,2.36,9.31,1,0.43,0.703,3.36,0.43
Heat-Strengthened,10,3.35,1.82,1.84,2.07,3.11,2,1.3,0.78,5.31,0.72
Fully Tempered,10,4.73,1.64,2.88,1.17,7.75,4,3,0.818,5.72,0.72
Laminated,12,1.13,1.38,0.82,0.53,0.01,3.8,2.85,0.71,2.84,0.83
Fully Tempered,8,3.05,2.26,1.35,2.95,4.31,4,3,0.356,33.15,0.83
Heat-Strengthened,16,3.26,2.24,1.46,1.4,0.34,2,1.3,0.799,3.5,0.64
Annealed,10,2.18,4.98,0.44,0.51,0.05,1,0.43,0.846,0.6,0.83
Annealed,16,4.57,4.4,1.04,2.98,1.41,1,0.43,0.702,4.25,0.36
Annealed,12,2.54,4.66,0.55,0.9,0.09,1,0.43,0.71,1.27,0.43
Annealed,16,1.55,4.45,0.35,2.51,0.02,1,0.43,0.811,3.09,0.72
Heat-Strengthened,5,3.26,3.24,1.01,1.19,6.48,2,1.3,0.365,6.52,0.72
Fully Tempered,8,2.3,2.26,1.02,1.49,0.7,4,3,0.546,10.92,1
Fully Tempered,16,2.38,1.46,1.63,0.98,0.11,4,3,0.844,4.64,0.93
Laminated,10,5,2.26,2.21,1.6,9.61,3.8,2.85,0.825,7.37,0.83
Heat-Strengthened,8,3.28,4.5,0.73,0.85,0.83,2,1.3,0.441,3.85,1
Heat-Strengthened,10,3.51,3.3,1.06,1.64,1.47,2,1.3,0.874,3.75,0.93
Fully Tempered,10,4.53,2.42,1.87,2.89,10.92,4,3,0.859,13.46,0.43
Fully Tempered,19,2.17,2.08,1.04,0.9,0.03,4,3,0.77,4.68,0.31
Fully Tempered,12,1.84,4.31,0.43,2.43,0.07,4,3,0.728,13.35,0.83
Fully Tempered,4,3.29,3.84,0.86,1.38,12.85,4,3,0.52,10.62,0.31
Heat-Strengthened,6,3.17,1.42,2.23,1.06,7.58,2,1.3,0.566,3.75,0.36
Laminated,4,4.56,1.22,3.74,2.17,260.87,3.8,2.85,0.596,13.84,0.36
Laminated,10,2.83,1.37,2.07,1.31,1.33,3.8,2.85,0.774,6.43,0.93
Heat-Strengthened,5,2.58,2.83,0.91,0.56,1.37,2,1.3,0.659,1.7,0.83
Fully Tempered,12,3.15,3.22,0.98,0.93,0.32,4,3,0.886,4.2,1
Annealed,16,3.19,1.32,2.42,1.34,0.56,1,0.43,0.747,1.79,0.43
Heat-Strengthened,16,4.34,2.13,2.04,0.98,0.87,2,1.3,0.888,2.21,0.83
Fully Tempered,6,4.39,4.75,0.92,1.42,10.04,4,3,0.306,18.56,0.36
Annealed,5,3.87,1.72,2.25,1.15,26.05,1,0.43,0.833,1.38,0.72
Laminated,6,3.6,4.52,0.8,1.37,4.6,3.8,2.85,0.438,11.89,0.93
Annealed,6,3.25,3.59,0.91,1.91,5.37,1,0.43,0.402,4.75,0.64
Annealed,6,3.39,4.79,0.71,1.42,3.54,1,0.43,0.562,2.53,0.83
Heat-Strengthened,12,1.16,3.24,0.36,1.78,0.01,2,1.3,0.85,4.19,1
Annealed,4,2.3,3.68,0.62,1.72,3.99,1,0.43,0.414,4.15,0.64
Heat-Strengthened,12,2.52,2.27,1.11,1.58,0.32,2,1.3,0.718,4.4,0.36
Laminated,8,4.43,2.07,2.14,2.48,19.56,3.8,2.85,0.755,12.48,0.36
Fully Tempered,16,2.16,3.95,0.55,0.96,0.03,4,3,0.79,4.86,0.36
Fully Tempered,16,1.65,4.77,0.35,1.34,0.01,4,3,0.885,6.06,0.43
Laminated,16,3.14,4.38,0.72,1.39,0.15,3.8,2.85,0.724,7.3,0.36
Laminated,5,4.23,1.19,3.55,0.92,42.99,3.8,2.85,0.818,4.27,0.36
Heat-Strengthened,5,3.29,3.93,0.84,0.74,3.45,2,1.3,0.825,1.79,1
Heat-Strengthened,8,2.41,2.71,0.89,1.63,0.77,2,1.3,0.587,5.55,0.36
Annealed,10,2.76,1.71,1.61,1.78,1.31,1,0.43,0.721,2.47,0.93
Fully Tempered,6,1.87,4.6,0.41,2.5,0.6,4,3,0.335,29.85,0.83
Annealed,12,1.31,1.54,0.85,1.68,0.04,1,0.43,0.716,2.35,0.64
Fully Tempered,16,2.25,3.08,0.73,2.43,0.1,4,3,0.725,13.41,0.43
Fully Tempered,10,3.13,1.59,1.97,1.14,1.49,4,3,0.748,6.1,0.31
Heat-Strengthened,4,3.25,1.83,1.78,0.89,18.4,2,1.3,0.482,3.69,0.31
Heat-Strengthened,6,4.99,1.8,2.77,2.03,70.28,2,1.3,0.892,4.55,0.31
Fully Tempered,8,1.48,4.15,0.36,1.63,0.07,4,3,0.673,9.69,0.31
Laminated,12,4.72,1.08,4.37,1.7,9.82,3.8,2.85,0.895,7.22,0.36
Laminated,12,3.77,1.12,3.37,2.35,5.32,3.8,2.85,0.714,12.51,0.64
Heat-Strengthened,16,1.33,4.15,0.32,1.99,0.01,2,1.3,0.893,4.46,0.55
Heat-Strengthened,4,3.95,1.42,2.78,2.12,123.28,2,1.3,0.83,5.11,0.55
Laminated,10,3.65,1.8,2.03,2.33,4.99,3.8,2.85,0.748,11.84,0.31
Heat-Strengthened,8,1.74,4.92,0.35,0.74,0.05,2,1.3,0.605,2.45,0.55
Heat-Strengthened,19,2.92,2.41,1.21,2.59,0.22,2,1.3,0.747,6.93,0.93
Heat-Strengthened,16,4.23,2.82,1.5,0.6,0.32,2,1.3,0.815,1.47,0.83
Annealed,6,3.4,1.65,2.06,1.34,10.91,1,0.43,0.42,3.19,0.93
Annealed,6,3.75,4.05,0.93,2.07,9.14,1,0.43,0.719,2.88,1
Laminated,12,3.13,1.05,2.98,2.62,3.01,3.8,2.85,0.87,11.44,0.83
Annealed,19,2.22,1.99,1.12,2.63,0.09,1,0.43,0.866,3.04,1
Laminated,12,2.99,4.91,0.61,0.89,0.16,3.8,2.85,0.84,4.03,0.31
Annealed,16,4.04,2.65,1.52,2.63,1.4,1,0.43,0.817,3.22,0.72
Fully Tempered,8,4.11,1.39,2.96,2.86,24.89,4,3,0.601,19.03,0.83
Fully Tempered,19,1.5,2.61,0.57,1.48,0.01,4,3,0.87,6.8,0.83
Laminated,19,2.89,3.12,0.93,0.85,0.05,3.8,2.85,0.736,4.39,0.83
Annealed,8,3.94,3.53,1.12,1.63,4.25,1,0.43,0.331,4.92,0.72
Fully Tempered,10,2.25,4.36,0.52,2.95,0.34,4,3,0.84,14.05,0.36
Fully Tempered,10,2.58,1.54,1.68,2.65,1.66,4,3,0.729,14.54,1
Laminated,19,3.42,4.46,0.77,0.65,0.06,3.8,2.85,0.822,3,0.31
Annealed,4,3.96,3.2,1.24,0.84,19.71,1,0.43,0.599,1.4,0.72
Annealed,19,3.8,2.88,1.32,1.26,0.26,1,0.43,0.842,1.5,0.55
Fully Tempered,10,2.37,2.54,0.93,1.28,0.31,4,3,0.735,6.97,0.83
Heat-Strengthened,5,2.87,4.81,0.6,2.41,5.31,2,1.3,0.821,5.87,0.93
Fully Tempered,10,1.28,2.47,0.52,1.93,0.04,4,3,0.877,8.8,0.55
Fully Tempered,6,3.82,3.07,1.24,2.84,17.82,4,3,0.793,14.33,0.36
Laminated,19,2.38,4.65,0.51,1.86,0.04,3.8,2.85,0.875,8.08,1
Annealed,4,3.09,3.87,0.8,0.52,3.74,1,0.43,0.779,0.67,0.43
Fully Tempered,19,4.87,1.74,2.8,2.06,2.11,4,3,0.849,9.71,0.55
Laminated,6,1.21,1.79,0.68,2.81,0.3,3.8,2.85,0.826,12.93,1
Heat-Strengthened,10,4.64,4.49,1.03,0.6,1.21,2,1.3,0.804,1.49,0.36
Annealed,6,1.48,3.67,0.4,1.75,0.21,1,0.43,0.527,3.32,0.72
Annealed,19,4.92,3.13,1.57,1.3,0.77,1,0.43,0.861,1.51,0.93
Heat-Strengthened,8,4,3.38,1.18,1.66,4.8,2,1.3,0.4,8.3,0.64
Annealed,10,1.9,4.66,0.41,0.52,0.03,1,0.43,0.791,0.66,0.93
Laminated,10,4.69,1.71,2.74,2.88,17.69,3.8,2.85,0.809,13.53,0.93
Fully Tempered,8,1.31,1.52,0.86,1.92,0.14,4,3,0.63,12.19,0.83
Annealed,19,3.69,2.22,1.66,1.36,0.36,1,0.43,0.878,1.55,0.43
Laminated,16,1.94,3.21,0.6,0.82,0.02,3.8,2.85,0.812,3.84,1
Laminated,12,2.69,1.83,1.47,1.93,0.62,3.8,2.85,0.808,9.08,0.43
Fully Tempered,6,4.53,4.57,0.99,1.48,12.34,4,3,0.603,9.82,0.36
Annealed,12,2.17,1.94,1.12,1.24,0.16,1,0.43,0.785,1.58,0.64
Annealed,4,2.22,3.21,0.69,0.59,1.36,1,0.43,0.51,1.16,0.83
Annealed,6,1.56,2.9,0.54,2.75,0.51,1,0.43,0.623,4.41,0.83
Annealed,8,4.55,1.8,2.53,2.27,22.92,1,0.43,0.691,3.29,0.93
Annealed,5,3.73,1.55,2.41,1.99,43.16,1,0.43,0.628,3.17,0.55
Heat-Strengthened,19,4.98,2.07,2.41,0.76,0.71,2,1.3,0.777,1.96,0.43
Heat-Strengthened,5,3.99,4.81,0.83,1.95,16.06,2,1.3,0.374,10.43,1
Annealed,4,3.84,4.36,0.88,2.89,44,1,0.43,0.399,7.24,0.55
Fully Tempered,16,3.71,2.08,1.78,2.39,1.15,4,3,0.708,13.5,0.43
Laminated,8,1.05,4.86,0.22,2.3,0.02,3.8,2.85,0.774,11.29,0.72
Laminated,8,1.29,4.67,0.28,0.81,0.02,3.8,2.85,0.455,6.76,0.43
Laminated,10,1.52,4.16,0.37,2.45,0.06,3.8,2.85,0.764,12.19,0.72
Fully Tempered,6,1.26,4.9,0.26,2.63,0.12,4,3,0.33,31.88,0.43
Fully Tempered,10,1.17,3.65,0.32,1.86,0.02,4,3,0.794,9.37,0.55
Laminated,16,3.52,2.03,1.73,2.32,0.93,3.8,2.85,0.847,10.41,1
Heat-Strengthened,6,2.44,4.55,0.54,2.15,1.52,2,1.3,0.67,6.42,0.36
Heat-Strengthened,10,2.9,3.08,0.94,2.67,1.2,2,1.3,0.764,6.99,0.93
Annealed,10,3.09,2.14,1.44,1.57,1.31,1,0.43,0.779,2.02,0.55
Heat-Strengthened,19,1.84,3.17,0.58,2.1,0.02,2,1.3,0.81,5.19,0.72
Heat-Strengthened,4,3.53,3.12,1.13,0.91,13.83,2,1.3,0.433,4.2,0.43
Annealed,19,4.32,1.92,2.25,2.48,1.42,1,0.43,0.805,3.08,1
Annealed,16,2.33,3.48,0.67,2.73,0.11,1,0.43,0.779,3.5,0.43
Fully Tempered,6,3.9,4.41,0.88,2.86,13.57,4,3,0.414,27.63,0.64
Fully Tempered,19,1.64,4.19,0.39,2.25,0.01,4,3,0.7,12.86,0.64
Fully Tempered,19,3.77,4.6,0.82,1.63,0.2,4,3,0.857,7.61,0.36
Annealed,5,2.62,1.88,1.39,1.78,6.97,1,0.43,0.575,3.1,1
Laminated,6,3.93,3.03,1.3,2.55,18.16,3.8,2.85,0.686,14.13,1
Laminated,19,3.28,4.74,0.69,2.44,0.17,3.8,2.85,0.836,11.09,0.31
Annealed,19,1.19,4.84,0.25,2.17,0,1,0.43,0.899,2.41,0.55
Heat-Strengthened,12,4.96,3,1.65,1,2.53,2,1.3,0.822,2.43,0.31
Heat-Strengthened,4,2.17,4.36,0.5,1.12,1.74,2,1.3,0.598,3.75,0.31
Fully Tempered,10,3.66,1.75,2.09,0.79,1.76,4,3,0.871,3.63,0.55
Fully Tempered,6,4.47,3.83,1.17,1.38,13.01,4,3,0.444,12.43,0.55
Fully Tempered,16,4.99,1.77,2.82,0.65,1.21,4,3,0.781,3.33,0.72
Laminated,4,2.55,3.44,0.74,2.47,9.27,3.8,2.85,0.405,23.18,0.55
Heat-Strengthened,6,1.23,2.59,0.47,2.77,0.22,2,1.3,0.428,12.94,0.64
Fully Tempered,10,2.76,4.34,0.64,0.61,0.16,4,3,0.849,2.87,0.36
Fully Tempered,4,4.2,1.07,3.93,1.8,177.56,4,3,0.374,19.25,0.72
Annealed,12,3.24,4.88,0.66,1.49,0.38,1,0.43,0.859,1.73,1
Fully Tempered,19,4.52,3.52,1.28,2.07,0.7,4,3,0.899,9.21,0.55
Annealed,5,2.99,2.8,1.07,2.59,11.56,1,0.43,0.395,6.56,0.55
Annealed,8,1.68,2.14,0.79,2.71,0.38,1,0.43,0.706,3.84,0.64
Annealed,4,4.28,2.88,1.49,1.44,51.22,1,0.43,0.732,1.97,0.31
Fully Tempered,10,2.98,1.26,2.37,2.42,3.29,4,3,0.773,12.52,0.43
Annealed,19,3.77,2.92,1.29,2.91,0.57,1,0.43,0.87,3.34,0.64
Heat-Strengthened,16,3.95,2.83,1.4,1.43,0.59,2,1.3,0.873,3.28,0.43
Fully Tempered,5,4,4.41,0.91,0.89,8.08,4,3,0.675,5.27,0.83
Heat-Strengthened,16,2.31,3.22,0.72,0.82,0.03,2,1.3,0.734,2.23,0.83
Fully Tempered,12,1.26,1.28,0.98,2.54,0.06,4,3,0.854,11.9,0.43
Fully Tempered,12,2.85,1.79,1.59,2.17,1,4,3,0.717,12.11,0.31
Heat-Strengthened,10,4.83,2.71,1.78,1.31,5.71,2,1.3,0.776,3.38,0.55
Fully Tempered,19,2.01,4.02,0.5,1.4,0.02,4,3,0.768,7.29,0.93
Heat-Strengthened,10,1.8,4.65,0.39,2.69,0.12,2,1.3,0.816,6.59,0.31
Heat-Strengthened,5,4.45,1.12,3.97,0.51,31.01,2,1.3,0.34,3,0.36
Laminated,5,2.6,3.5,0.74,1.87,3.82,3.8,2.85,0.394,18.04,0.83
Heat-Strengthened,19,4.36,1.5,2.91,1.96,1.49,2,1.3,0.753,5.21,0.64
Laminated,4,3.4,4.22,0.81,1.97,19.04,3.8,2.85,0.301,24.87,0.93
Fully Tempered,4,3.79,1.17,3.24,2.24,133.99,4,3,0.887,10.1,0.36
Laminated,16,4.17,2.97,1.4,2.41,1.17,3.8,2.85,0.841,10.89,0.55
Heat-Strengthened,4,2.44,4.22,0.58,0.64,1.64,2,1.3,0.877,1.46,0.43
Fully Tempered,5,1.07,3.38,0.32,2.71,0.16,4,3,0.79,13.72,0.93
Heat-Strengthened,4,1.67,2.23,0.75,1.07,1.14,2,1.3,0.589,3.63,1
Laminated,6,1.16,3.29,0.35,0.57,0.03,3.8,2.85,0.324,6.69,0.31
Laminated,10,2.97,1.75,1.7,2.82,2.72,3.8,2.85,0.705,15.2,0.31
Heat-Strengthened,5,2.22,1.09,2.04,2.45,9.48,2,1.3,0.761,6.44,0.43
Laminated,6,2.36,2.53,0.93,0.88,0.98,3.8,2.85,0.629,5.32,0.64
Heat-Strengthened,10,4.31,3.72,1.16,2.46,4.46,2,1.3,0.797,6.17,0.93
Annealed,6,2.27,1.18,1.92,1.86,4.21,1,0.43,0.313,5.94,0.31
Laminated,19,2.75,4.23,0.65,0.76,0.03,3.8,2.85,0.732,3.95,0.64
Laminated,4,1.51,4.69,0.32,1.3,0.44,3.8,2.85,0.368,13.42,0.43
Annealed,8,4.16,4.58,0.91,2.67,6.66,1,0.43,0.628,4.25,0.55
Laminated,10,1.93,3.13,0.62,1.77,0.15,3.8,2.85,0.856,7.86,0.64
Heat-Strengthened,19,2.68,2.68,1,2.46,0.13,2,1.3,0.883,5.57,0.31
Laminated,5,3.21,2.35,1.37,1.5,10.59,3.8,2.85,0.891,6.4,0.83
Annealed,16,1.61,2.77,0.58,2.84,0.03,1,0.43,0.772,3.68,0.64
Heat-Strengthened,4,2.17,3.73,0.58,2.01,3.65,2,1.3,0.56,7.18,0.55
Fully Tempered,5,2.54,4.68,0.54,0.78,1.08,4,3,0.622,5.02,0.72
Annealed,5,3.11,1.92,1.62,1.75,14.81,1,0.43,0.403,4.34,0.36
Annealed,19,2.21,1.51,1.46,2.13,0.1,1,0.43,0.741,2.87,0.31
Heat-Strengthened,16,2.14,3.83,0.56,1.25,0.03,2,1.3,0.773,3.23,0.93
Laminated,8,1.42,1.64,0.87,0.98,0.09,3.8,2.85,0.598,6.23,0.93
Heat-Strengthened,16,2.37,1.47,1.61,2.64,0.3,2,1.3,0.802,6.58,0.64
Laminated,10,4.49,4.03,1.11,2.25,4.43,3.8,2.85,0.765,11.18,0.36
Annealed,10,4.41,4.39,1,1.94,3.27,1,0.43,0.709,2.74,0.93
Heat-Strengthened,6,1.54,3.13,0.49,1.86,0.3,2,1.3,0.46,8.09,0.93
Fully Tempered,12,4.43,4.84,0.92,0.88,0.79,4,3,0.821,4.29,0.93
Heat-Strengthened,12,1.71,3.98,0.43,0.86,0.02,2,1.3,0.764,2.25,0.55
Fully Tempered,19,1.03,2.77,0.37,1.87,0,4,3,0.753,9.93,0.55
Fully Tempered,12,1.5,1.11,1.35,2.13,0.11,4,3,0.892,9.55,0.36
Heat-Strengthened,10,4.31,1.47,2.93,1.73,8.82,2,1.3,0.864,4,0.36
Laminated,19,2.98,2.03,1.47,0.53,0.06,3.8,2.85,0.795,2.53,0.36
Laminated,19,1.29,3.15,0.41,0.55,0,3.8,2.85,0.704,2.97,0.31
Heat-Strengthened,12,1.78,1.93,0.92,1.77,0.1,2,1.3,0.863,4.1,0.43
Annealed,10,3.68,2.54,1.45,0.79,1.11,1,0.43,0.796,0.99,0.83
Annealed,10,4.89,4.34,1.13,0.94,2.42,1,0.43,0.757,1.24,0.55
Laminated,5,4.46,4.68,0.95,2.44,32.24,3.8,2.85,0.309,30.01,1
Fully Tempered,19,4.52,4.34,1.04,2.52,0.69,4,3,0.745,13.53,1
Laminated,5,3.81,3.16,1.21,0.99,10.32,3.8,2.85,0.307,12.25,1
Annealed,8,1.64,1.03,1.59,1.42,0.42,1,0.43,0.586,2.42,0.36
Heat-Strengthened,16,2.64,3.54,0.75,1.47,0.1,2,1.3,0.857,3.43,0.64
Fully Tempered,16,2.8,4.23,0.66,2.54,0.18,4,3,0.778,13.06,0.31
Fully Tempered,12,4.17,1.05,3.97,2.05,7.42,4,3,0.877,9.35,0.36
Heat-Strengthened,8,2.21,1.95,1.13,1.26,0.59,2,1.3,0.423,5.96,0.36
Heat-Strengthened,6,2.84,1.61,1.76,0.98,3.98,2,1.3,0.543,3.61,0.31
Laminated,8,3.32,1.91,1.74,1.55,4.18,3.8,2.85,0.647,9.1,0.36
Fully Tempered,19,4.69,2.78,1.69,2.76,1.52,4,3,0.896,12.32,0.83
Heat-Strengthened,12,3.37,3.56,0.95,2.27,0.93,2,1.3,0.753,6.03,0.55
Laminated,10,2.74,4.22,0.65,1.62,0.42,3.8,2.85,0.853,7.22,0.43
Fully Tempered,12,4.64,4.8,0.97,1.53,1.67,4,3,0.706,8.67,0.72
Annealed,6,3.4,1.03,3.3,1.34,17.47,1,0.43,0.537,2.5,0.43
Laminated,5,4.39,3.74,1.17,1.66,25.77,3.8,2.85,0.455,13.86,1
Heat-Strengthened,8,1.49,4.49,0.33,1.49,0.06,2,1.3,0.589,5.06,1
Fully Tempered,12,4.31,2.2,1.96,1.3,2.56,4,3,0.806,6.45,0.31
Annealed,6,4.24,3.16,1.34,2.44,22.57,1,0.43,0.886,2.75,0.36
Heat-Strengthened,16,2.5,3.33,0.75,1.33,0.07,2,1.3,0.894,2.98,1
Annealed,12,1.97,3.28,0.6,0.6,0.03,1,0.43,0.833,0.72,0.43
Laminated,19,4.3,1.45,2.97,1.99,1.49,3.8,2.85,0.768,9.85,0.55
Laminated,8,3.6,4.6,0.78,2.33,3.25,3.8,2.85,0.513,17.26,0.36
Annealed,6,1.68,2.68,0.63,0.86,0.23,1,0.43,0.326,2.64,0.43
Heat-Strengthened,19,2.76,4.34,0.64,2.75,0.1,2,1.3,0.719,7.65,0.55
Heat-Strengthened,12,3.47,1.33,2.61,1.39,1.9,2,1.3,0.836,3.33,0.31
Heat-Strengthened,8,3.41,2.97,1.15,2.2,3.82,2,1.3,0.716,6.15,0.43
Laminated,6,4.1,4.67,0.88,2.27,12.42,3.8,2.85,0.319,27.04,1
Fully Tempered,10,3.81,2.57,1.48,1.47,2.35,4,3,0.776,7.58,1
Heat-Strengthened,6,1.91,2.02,0.95,1.78,1.06,2,1.3,0.534,6.67,0.64
Fully Tempered,10,3.52,4.76,0.74,1.97,1.24,4,3,0.77,10.23,0.55
Laminated,5,3.73,1.32,2.83,2.52,64.18,3.8,2.85,0.603,15.88,0.72
Fully Tempered,16,2.13,1.83,1.16,2.32,0.12,4,3,0.876,10.59,0.83
Fully Tempered,19,1.96,4.29,0.46,1.6,0.02,4,3,0.895,7.15,0.72
Annealed,12,1.19,4.04,0.29,2.79,0.02,1,0.43,0.764,3.65,0.83
Annealed,8,3.97,2.33,1.7,2.58,11.66,1,0.43,0.703,3.67,0.43
Annealed,8,1,4.55,0.22,2.88,0.02,1,0.43,0.529,5.44,0.31
Laminated,16,3.23,1.47,2.2,1.58,0.62,3.8,2.85,0.741,8.1,0.31
Annealed,6,2.74,1.77,1.55,1.12,3.58,1,0.43,0.48,2.33,0.31
Fully Tempered,12,3.1,4.4,0.7,0.58,0.14,4,3,0.846,2.74,0.93
Fully Tempered,16,3.25,2.01,1.62,1.07,0.31,4,3,0.87,4.92,0.43
Fully Tempered,8,2.77,1.79,1.55,2.37,3.31,4,3,0.475,19.96,0.43
Fully Tempered,10,1.32,3.73,0.35,0.67,0.01,4,3,0.854,3.14,0.43
Annealed,10,2.76,1.07,2.58,1.05,1.24,1,0.43,0.812,1.29,0.83
Heat-Strengthened,12,4.35,1.54,2.82,2.36,6.89,2,1.3,0.834,5.66,0.36
Fully Tempered,5,3.14,4.13,0.76,1.45,5.33,4,3,0.439,13.21,0.83
Fully Tempered,12,3.16,3.92,0.81,2.92,0.84,4,3,0.727,16.07,0.72
Laminated,4,2.09,2.59,0.81,2.83,6.36,3.8,2.85,0.838,12.83,0.55
Laminated,6,1.48,1.64,0.9,2.19,0.58,3.8,2.85,0.899,9.26,0.83
Heat-Strengthened,12,3.32,4,0.83,2.2,0.76,2,1.3,0.773,5.69,0.83
Fully Tempered,6,1.15,4.04,0.28,1.48,0.06,4,3,0.72,8.22,0.83
Annealed,10,2.77,1.11,2.5,1.17,1.35,1,0.43,0.874,1.34,0.43
Annealed,19,4.86,2.39,2.03,2.13,1.57,1,0.43,0.759,2.81,0.93
Heat-Strengthened,4,4.44,4.42,1,2.51,67.37,2,1.3,0.403,12.46,1
Heat-Strengthened,19,4.02,4.45,0.9,0.65,0.11,2,1.3,0.71,1.83,0.55
Annealed,6,3.06,2.48,1.23,1.35,4.32,1,0.43,0.877,1.54,0.64
Heat-Strengthened,16,1.95,2.36,0.83,0.93,0.03,2,1.3,0.857,2.17,0.55
Annealed,5,3.12,1.98,1.58,2.13,17.7,1,0.43,0.509,4.18,1
Annealed,8,1.57,3.02,0.52,2.45,0.19,1,0.43,0.784,3.12,0.36
Laminated,19,1.81,4.73,0.38,0.82,0.01,3.8,2.85,0.886,3.52,1
Fully Tempered,12,1.25,2.4,0.52,1.22,0.01,4,3,0.889,5.49,0.72
Heat-Strengthened,12,3.22,2.46,1.31,2.11,1.04,2,1.3,0.752,5.61,0.31
Laminated,8,3.9,1.71,2.28,2.27,13.02,3.8,2.85,0.514,16.78,1
Heat-Strengthened,12,2,4.88,0.41,1.91,0.07,2,1.3,0.725,5.27,0.55
Fully Tempered,4,3.61,2.35,1.54,2.49,61.04,4,3,0.585,17.03,0.36
Heat-Strengthened,16,3.15,4.98,0.63,1.18,0.11,2,1.3,0.766,3.08,0.55
Laminated,5,2.36,2.94,0.8,1.12,1.85,3.8,2.85,0.404,10.53,0.64
Laminated,10,1.55,3.34,0.46,2.13,0.07,3.8,2.85,0.798,10.14,0.64
Fully Tempered,5,3.9,1.85,2.11,1.84,39.96,4,3,0.797,9.23,0.72
Annealed,8,4,4.27,0.94,2.16,4.94,1,0.43,0.726,2.98,0.55
Laminated,16,3.87,1.16,3.34,2.02,2.07,3.8,2.85,0.864,8.88,0.36
Heat-Strengthened,16,3.54,2.64,1.34,2.54,0.72,2,1.3,0.869,5.85,0.55
Annealed,19,2.63,1.05,2.5,2.08,0.3,1,0.43,0.727,2.86,0.31
Heat-Strengthened,10,2.16,2.93,0.74,1.2,0.17,2,1.3,0.747,3.21,0.64
Annealed,10,3.07,2.85,1.08,0.99,0.6,1,0.43,0.789,1.25,0.64
Annealed,19,4.69,1.11,4.23,2.16,2.98,1,0.43,0.807,2.68,0.36
Laminated,19,1.2,2.82,0.43,2.8,0.01,3.8,2.85,0.706,15.07,0.43
Heat-Strengthened,10,3.97,4.46,0.89,1.23,1.34,2,1.3,0.792,3.11,0.43
Annealed,5,2.03,4.77,0.43,2.4,1.34,1,0.43,0.508,4.72,0.43
